"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.","Not Rated","True","English","Nymphomaniac: Volume 1","Denmark, Germany, France, Belgium, UK","Lars von Trier","80","7.7","Lars von Trier","25 Dec 2013","Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin, Shia LaBeouf","2013","Drama","N/A","122 min","movie","http://ia.media-imdb.com/images/M/MV5BMzU4MDA1MTcwMV5BMl5BanBnXkFtZTcwODAyOTY3OQ@@._V1_SX300.jpg","1,507","tt1937390"
"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?","R","True","English","Prisoners","USA","Aaron Guzikowski","74","8.1","Denis Villeneuve","20 Sep 2013","Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello","2013","Crime, Drama, Thriller","5 wins & 10 nominations.","153 min","movie","http://ia.media-imdb.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_SX300.jpg","129,210","tt1392214"
"A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.","R","True","English, Spanish","We're the Millers","USA","Bob Fisher (screenplay), Steve Faber (screenplay), Sean Anders (screenplay), John Morris (screenplay)","44","7.1","Rawson Marshall Thurber","07 Aug 2013","Jennifer Aniston, Jason Sudeikis, Emma Roberts, Will Poulter","2013","Comedy, Crime","1 win & 2 nominations.","110 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA5Njc0NDUxNV5BMl5BanBnXkFtZTcwMjYzNzU1OQ@@._V1_SX300.jpg","137,384","tt1723121"
"A pair of aging boxing rivals are coaxed out of retirement to fight one final bout -- 30 years after their last match.","PG-13","True","N/A","Grudge Match","N/A","Tim Kelleher, Rodney Rothman","N/A","N/A","Peter Segal","25 Dec 2013","Robert De Niro, Sylvester Stallone, Kim Basinger, Alan Arkin","2013","Comedy, Sport","N/A","1 h 53 min","N/A","http://ia.media-imdb.com/images/M/MV5BMTY3NTkxMTgzNV5BMl5BanBnXkFtZTgwNjg0MzE2MDE@._V1_SX300.jpg","N/A","tt1661382"
"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.","R","True","English, Spanish, French, Afrikaans","Elysium","USA","Neill Blomkamp","61","6.7","Neill Blomkamp","09 Aug 2013","Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga","2013","Action, Drama, Sci-Fi","2 nominations.","109 min","movie","http://ia.media-imdb.com/images/M/MV5BNDc2NjU0MTcwNV5BMl5BanBnXkFtZTcwMjg4MDg2OQ@@._V1_SX300.jpg","147,334","tt1535108"
"A young itinerant worker is forced to confront his secret extraterrestrial heritage when Earth is invaded by members of his race.","PG-13","True","English","Man of Steel","USA, Canada, UK","David S. Goyer (screenplay), Christopher Nolan (story), Jerry Siegel (Superman created by), Joe Shuster (Superman created by)","55","7.4","Zack Snyder","14 Jun 2013","Henry Cavill, Amy Adams, Michael Shannon, Diane Lane","2013","Action, Adventure, Fantasy","4 wins & 10 nominations.","143 min","movie","http://ia.media-imdb.com/images/M/MV5BMjI5OTYzNjI0Ml5BMl5BanBnXkFtZTcwMzM1NDA1OQ@@._V1_SX300.jpg","311,248","tt0770828"
"A master auctioneer becomes obsessed with an extremely reclusive heiress who collects fine art.","R","True","English","The Best Offer","Italy","Giuseppe Tornatore","46","7.8","Giuseppe Tornatore","01 Jan 2014","Geoffrey Rush, Jim Sturgess, Sylvia Hoeks, Donald Sutherland","2013","Crime, Drama, Mystery","13 wins & 17 nominations.","131 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQ4MzQ3NjA0N15BMl5BanBnXkFtZTgwODQyNjQ4MDE@._V1_SX300.jpg","19,689","tt1924396"
"A medical engineer and an astronaut work together to survive after an accident leaves them adrift in space.","PG-13","True","English, Greenlandic","Gravity","USA","Alfonso Cuarón, Jonás Cuarón","96","8.3","Alfonso Cuarón","04 Oct 2013","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen","2013","Drama, Sci-Fi, Thriller","Nominated for 4 Golden Globes. Another 66 wins & 65 nominations.","91 min","movie","http://ia.media-imdb.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_SX300.jpg","222,032","tt1454468"
"Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.","PG","True","English","Despicable Me 2","USA","Cinco Paul, Ken Daurio","62","7.6","Pierre Coffin, Chris Renaud","03 Jul 2013","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove","2013","Animation, Adventure, Comedy","Nominated for 2 Golden Globes. Another 9 wins & 33 nominations.","98 min","movie","http://ia.media-imdb.com/images/M/MV5BMjExNjAyNTcyMF5BMl5BanBnXkFtZTgwODQzMjQ3MDE@._V1_SX300.jpg","132,920","tt1690953"
"When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called Downworld.","PG-13","True","English","The Mortal Instruments: City of Bones","USA, Germany, Canada","Jessica Postigo (screenplay), Cassandra Clare (based on the novel by)","33","6.0","Harald Zwart","21 Aug 2013","Lily Collins, Jamie Campbell Bower, Kevin Zegers, Jemima West","2013","Action, Adventure, Drama","1 nomination.","130 min","movie","http://ia.media-imdb.com/images/M/MV5BMTc5NzAyOTQyNF5BMl5BanBnXkFtZTcwNzQ1MDc4OQ@@._V1_SX300.jpg","48,318","tt1538403"
"Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.","PG-13","True","English","Thor: The Dark World","USA","Christopher Yost (screenplay), Christopher Markus (screenplay), Stephen McFeely (screenplay), Don Payne (story), Robert Rodat (story), Stan Lee (comic book), Larry Lieber (comic book), Jack Kirby (comic book)","54","7.6","Alan Taylor","08 Nov 2013","Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins","2013","Action, Adventure, Fantasy","N/A","112 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQyNzAwOTUxOF5BMl5BanBnXkFtZTcwMTE0OTc5OQ@@._V1_SX300.jpg","110,547","tt1981115"
"A Midwestern war veteran finds himself drawn to the past and lifestyle of his millionaire neighbor.","PG-13","True","English","The Great Gatsby","Australia, USA","Baz Luhrmann (screenplay), Craig Pearce (screenplay), F. Scott Fitzgerald (based on the novel by)","55","7.3","Baz Luhrmann","10 May 2013","Lisa Adam, Frank Aldridge, Amitabh Bachchan, Steve Bisley","2013","Drama, Romance","11 wins & 29 nominations.","143 min","movie","http://ia.media-imdb.com/images/M/MV5BMTkxNTk1ODcxNl5BMl5BanBnXkFtZTcwMDI1OTMzOQ@@._V1_SX300.jpg","179,586","tt1343092"
"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.","R","True","English, Spanish","This Is the End","USA","Seth Rogen (screenplay), Evan Goldberg (screenplay), Jason Stone (based on the short film ""Jay and Seth vs. The Apocalypse"" by)","67","6.9","Evan Goldberg, Seth Rogen","12 Jun 2013","James Franco, Jonah Hill, Seth Rogen, Jay Baruchel","2013","Comedy, Fantasy","4 wins & 2 nominations.","107 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQxODE3NjM1Ml5BMl5BanBnXkFtZTcwMzkzNjc4OA@@._V1_SX300.jpg","162,508","tt1245492"
"A look at the lives of the strong-willed women of the Weston family, whose paths have diverged until a family crisis brings them back to the Oklahoma house they grew up in, and to the dysfunctional woman who raised them.","R","True","English","August: Osage County","USA","Tracy Letts (screenplay)","58","7.3","John Wells","10 Jan 2014","Meryl Streep, Julia Roberts, Chris Cooper, Ewan McGregor","2013","Comedy, Drama","Nominated for 2 Golden Globes. Another 4 wins & 20 nominations.","121 min","movie","http://ia.media-imdb.com/images/M/MV5BNzQ5ODE4NTcxNV5BMl5BanBnXkFtZTgwNjkyNDQ0MDE@._V1_SX300.jpg","1,156","tt1322269"
"Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.","PG-13","True","English, North American Indian","The Lone Ranger","USA","Justin Haythe (screenplay), Ted Elliott (screenplay), Terry Rossio (screenplay)","37","6.6","Gore Verbinski","03 Jul 2013","Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson","2013","Action, Adventure, Western","2 nominations.","149 min","movie","http://ia.media-imdb.com/images/M/MV5BMjI3Mjk5MTUxOV5BMl5BanBnXkFtZTcwNTMyNzY3OQ@@._V1_SY264_CR0,0,178,264_.jpg","87,655","tt1210819"
"When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother, Russell, takes matters into his own hands to find justice.","R","True","English","Out of the Furnace","USA, UK","Brad Ingelsby, Scott Cooper","64","7.0","Scott Cooper","06 Dec 2013","Woody Harrelson, Dendrie Taylor, Carl Ciarfalio, Nancy Mosser","2013","Crime, Drama, Thriller","1 win & 3 nominations.","116 min","movie","http://ia.media-imdb.com/images/M/MV5BMTc2MTQ4MDU4NV5BMl5BanBnXkFtZTgwOTU1ODgzMDE@._V1_SX300.jpg","12,880","tt1206543"
"A reimagining of the classic horror tale about Carrie White, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashes telekinetic terror on her small town after being pushed too far at her senior prom.","R","True","English","Carrie","USA","Lawrence D. Cohen (screenplay), Roberto Aguirre-Sacasa (screenplay), Stephen King (novel)","53","6.3","Kimberly Peirce","18 Oct 2013","Julianne Moore, Chloë Grace Moretz, Gabriella Wilde, Portia Doubleday","2013","Drama, Horror","1 nomination.","100 min","movie","http://ia.media-imdb.com/images/M/MV5BMTc1MDIyOTkxN15BMl5BanBnXkFtZTgwMTU1NzEzMDE@._V1_SY264_CR0,0,178,264_.jpg","20,267","tt1939659"
"As Cecil Gaines serves eight presidents during his tenure as a butler at the White House, the civil rights movement, Vietnam, and other major events affect this man's life, family, and American society.","PG-13","True","English","Lee Daniels' The Butler","USA","Danny Strong, Wil Haygood (article)","66","7.0","Lee Daniels","16 Aug 2013","Forest Whitaker, David Banner, Michael Rainey Jr., LaJessie Smith","2013","Biography, Drama","Nominated for 2 BAFTA Film Awards. Another 5 wins & 20 nominations.","132 min","movie","http://ia.media-imdb.com/images/M/MV5BMjM2NDY3MjkyMF5BMl5BanBnXkFtZTcwMDM5Nzg5OQ@@._V1_SX300.jpg","29,197","tt1327773"
"An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.","PG-13","True","English","Now You See Me","France, USA","Ed Solomon (screenplay), Boaz Yakin (screenplay), Edward Ricourt (screenplay)","50","7.3","Louis Leterrier","31 May 2013","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher","2013","Crime, Mystery, Thriller","1 nomination.","115 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY0NDY3MDMxN15BMl5BanBnXkFtZTcwOTM5NzMzOQ@@._V1_SX300.jpg","230,126","tt1670345"
"When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons.","PG-13","True","N/A","The Wolverine","N/A","Mark Bomback (screenplay), Scott Frank (screenplay)","60","6.8","James Mangold","26 Jul 2013","Hugh Jackman, Tao Okamoto, Rila Fukushima, Hiroyuki Sanada","2013","Action, Adventure, Fantasy","N/A","126 min","movie","http://ia.media-imdb.com/images/M/MV5BNzg1MDQxMTQ2OF5BMl5BanBnXkFtZTcwMTk3MjAzOQ@@._V1_SY264_CR0,0,178,264_.jpg","141,271","tt1430132"
"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.","R","True","N/A","About Time","N/A","Richard Curtis","55","7.8","Richard Curtis","08 Nov 2013","Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson","2013","Comedy, Drama, Sci-Fi","N/A","123 min","movie","http://ia.media-imdb.com/images/M/MV5BMTA1ODUzMDA3NzFeQTJeQWpwZ15BbWU3MDgxMTYxNTk@._V1_SX178_.jpg","18,038","tt2194499"
"The costumed high-school hero Kick-Ass joins with a group of normal citizens who have been inspired to fight crime in costume. Meanwhile, the Red Mist plots an act of revenge that will affect everyone Kick-Ass knows.","R","True","English","Kick-Ass 2","USA, UK","Jeff Wadlow (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)","41","6.8","Jeff Wadlow","16 Aug 2013","Aaron Taylor-Johnson, Chloë Grace Moretz, Morris Chestnut, Claudia Lee","2013","Action, Comedy, Crime","1 win.","103 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQ4OTQxNzc0N15BMl5BanBnXkFtZTcwOTQxOTU5OQ@@._V1_SX300.jpg","87,978","tt1650554"
"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.","R","True","English, Latin","The Conjuring","USA","Chad Hayes, Carey Hayes","68","7.6","James Wan","19 Jul 2013","Vera Farmiga, Patrick Wilson, Lili Taylor, Ron Livingston","2013","Horror, Thriller","4 wins & 3 nominations.","112 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM3NjA1NDMyMV5BMl5BanBnXkFtZTcwMDQzNDMzOQ@@._V1_SX300.jpg","145,189","tt1457767"
"See and feel what it was like when dinosaurs ruled the Earth, in a story where an underdog dino triumphs to become a hero for the ages.","PG","True","English","Walking with Dinosaurs 3D","USA, UK","John Collee","37","5.0","Barry Cook, Neil Nightingale","20 Dec 2013","Charlie Rowe, Karl Urban, Angourie Rice, John Leguizamo","2013","Animation, Adventure, Family","N/A","87 min","movie","http://ia.media-imdb.com/images/M/MV5BMjE2OTc2MTk1Nl5BMl5BanBnXkFtZTgwNDg5NDU1MDE@._V1_SX300.jpg","2,026","tt1762399"
"In order to restore their dying safe haven, the son of Poseidon and his friends embark on a quest to the Sea of Monsters to find the mythical Golden Fleece while trying to stop an ancient evil from rising.","PG","True","English","Percy Jackson: Sea of Monsters","USA","Marc Guggenheim (screenplay), Rick Riordan (based upon the novel ""Percy Jackson and the Olympians: The Sea of Monsters"" written by)","39","5.9","Thor Freudenthal","07 Aug 2013","Logan Lerman, Alexandra Daddario, Douglas Smith, Leven Rambin","2013","Adventure, Family, Fantasy","1 win & 3 nominations.","106 min","movie","http://ia.media-imdb.com/images/M/MV5BMTUwODUyODI0Nl5BMl5BanBnXkFtZTcwNzAxODY2OQ@@._V1_SX300.jpg","37,794","tt1854564"
"Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past.","R","True","N/A","Riddick","N/A","David Twohy, Jim Wheat","N/A","6.6","David Twohy","06 Sep 2013","Vin Diesel, Karl Urban, Katee Sackhoff, Jordi Mollà","2013","Action, Sci-Fi, Thriller","N/A","1 h 59 min","movie","http://ia.media-imdb.com/images/M/MV5BMTk5NzYwMzQ4MV5BMl5BanBnXkFtZTcwMjE5MTI1OQ@@._V1_SX300.jpg","37,395","tt1411250"
"Trained as a circus entertainer by his father, the adult Sahir co-stars in a circus alongside the gymnast Aaliya, though his true motive is to rob the show's owners, whom he believes were responsible for his father's murder.","N/A","True","N/A","Dhoom 3","N/A","Vijay Krishna Acharya, Prakash Bharadwaj (dialogue supervisor)","N/A","N/A","Vijay Krishna Acharya","20 Dec 2013","Aamir Khan, Kim DeJesus, Katrina Kaif, Tabrett Bethell","2013","Action, Thriller","N/A","N/A","movie","http://ia.media-imdb.com/images/M/MV5BMjI3NjY4OTU3Ml5BMl5BanBnXkFtZTgwODI5MzM1MDE@._V1_SX178_.jpg","N/A","tt1833673"
"The Manzoni family, a notorious mafia clan, is relocated to Normandy, France under the witness protection program, where fitting in soon becomes challenging as their old habits die hard.","R","True","English, French","The Family","USA, France","Luc Besson (screenplay), Michael Caleo (screenplay), Tonino Benacquista (based on the book by)","42","6.4","Luc Besson","13 Sep 2013","Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo","2013","Comedy, Crime, Thriller","N/A","111 min","movie","http://ia.media-imdb.com/images/M/MV5BMjE2MzI0MzkyNV5BMl5BanBnXkFtZTcwMjQ2MDM2OQ@@._V1_SX300.jpg","32,250","tt2404311"
"As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.","PG-13","True","English, Japanese, Cantonese, Mandarin","Pacific Rim","USA","Travis Beacham (screenplay), Guillermo del Toro (screenplay)","64","7.1","Guillermo del Toro","12 Jul 2013","Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi","2013","Action, Adventure, Sci-Fi","5 wins & 9 nominations.","131 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY3MTI5NjQ4Nl5BMl5BanBnXkFtZTcwOTU1OTU0OQ@@._V1_SX300.jpg","200,360","tt1663662"
"After a collision with a shipping container at sea, a resourceful sailor finds himself, despite all efforts to the contrary, staring his mortality in the face.","PG-13","True","N/A","All Is Lost","N/A","J.C. Chandor","87","7.5","J.C. Chandor","07 Nov 2013","Robert Redford","2013","Action, Adventure, Drama","N/A","106 min","movie","http://ia.media-imdb.com/images/M/MV5BMjI0MzIyMjU1N15BMl5BanBnXkFtZTgwOTk1MjQxMDE@._V1_SY264_CR0,0,178,264_.jpg","2,915","tt2017038"
"Hobbs has Dom and Brian reassemble their crew in order to take down a mastermind who commands an organization of mercenary drivers across 12 countries. Payment? Full pardons for them all.","PG-13","True","N/A","Fast & Furious 6","N/A","Chris Morgan, Gary Scott Thompson","N/A","7.2","Justin Lin","24 May 2013","Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez","2013","Action, Crime, Thriller","N/A","2 h 10 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM3NTg2NDQzOF5BMl5BanBnXkFtZTcwNjc2NzQzOQ@@._V1_SX300.jpg","165,968","tt1905041"
"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you.","PG-13","True","English","Grown Ups 2","USA","Fred Wolf, Adam Sandler, Tim Herlihy","19","5.4","Dennis Dugan","12 Jul 2013","Adam Sandler, Kevin James, Chris Rock, David Spade","2013","Comedy","1 win & 1 nomination.","101 min","movie","http://ia.media-imdb.com/images/M/MV5BMTgwNTI2MDI0OF5BMl5BanBnXkFtZTcwMTk5MDg0OQ@@._V1_SX300.jpg","51,497","tt2191701"
